Date,Forecast_Total,Sum_Provinces,Difference,Pct_Difference
2025-12-16,14483.274960529328,13983.880589310522,-499.39437121880655,-3.448076298901909
2025-12-17,14438.894542645823,14052.537258458698,-386.3572841871246,-2.6758093082957544
2025-12-18,13921.442958486858,14262.786919659611,341.34396117275355,2.4519294601186568
2025-12-19,14763.009174685772,15056.795347419471,293.78617273369855,1.990015512809242
2025-12-20,14927.49958308125,14781.920499806929,-145.5790832743205,-0.975240913349742
2025-12-21,15092.659756197048,15521.46226844398,428.80251224693166,2.841132836582136
2025-12-22,13960.8668742677,13970.979964832355,10.113090564655067,0.07243884391803239
2025-12-23,14027.88831786798,14200.434359046081,172.5460411781005,1.2300214919612704
2025-12-24,13753.187353445892,14202.76417152157,449.5768180756786,3.2688918322852345
2025-12-25,13660.301021341136,15206.892809370918,1546.591788029782,11.321798733524112
2025-12-26,14819.984644277369,16100.49580434928,1280.511160071912,8.640435134096931
2025-12-27,14775.970409906477,16080.855272083412,1304.8848621769357,8.831128013778926
2025-12-28,14954.01575675417,16343.16131853045,1389.1455617762804,9.289448295176868
2025-12-29,14727.023391705354,15948.46002224327,1221.4366305379153,8.293845932409265
